0,1,2,3,4,5,6
ANDARTHOLE/I-01,,,,,,
1,NARAYAN CHANDRA ROY,KUSHADWAJ ROY,Male,SC,BJP,918.0
2,DINABANDHU SAHANA,DILIP KUMAR SAHANA,Male,SC,AITC,407.0
3,SUBHAS BAURI,LT. JYOTI BAURI,Male,SC,IND,21.0
ANDARTHOLE/II-02,,,,,,
1,MAMANI SHIT,ARUP SHIT,Female,General,AITC,302.0
2,SUCHITRA PAL,SHIBNATH PAL,Female,General,BJP,233.0
3,SHARMILA MANDI,BHANTU MANDI,Female,General,IND,49.0
ANDARTHOLE/III-03,,,,,,
1,MANIDIPA MANDAL (BAG),SATYABAN BAG,Female,SC,AITC,404.0
2,SUJATA SAHANA,FATIK SAHANA,Female,SC,BJP,287.0
3,MANASI MAJI,BASUDEB MAJI,Female,SC,IND,19.0
ANDARTHOLE/IV-04,,,,,,
1,AJIT KUMAR MANDAL,GOBARDHAN MANDAL,Male,SC,AITC,523.0
2,DILIP KUMAR MANDAL,ABHIRAM MANDAL,Male,SC,BJP,309.0
3,BAMAPADA MONDAL,SUDHIR MONDAL,Male,SC,IND,10.0
4,BASUDEB MAJI,HARENDRANATH MAJI,Male,SC,IND,9.0
ANDARTHOLE/V-05,,,,,,
1,KALYANI SARDAR,DULAL SARDAR,Female,ST,AITC,449.0
2,PADMABATI SARDAR,SANJIT SARDAR,Female,ST,IND,267.0
3,DALIM MANDI,SAILEN MANDI,Female,ST,BJP,44.0
4,GITAMANI MANDI,KHANDU MANDI,Female,ST,IND,7.0
ANDARTHOLE/VI-06,,,,,,
1,ANSHUMAN BANERJEE,JITEN BANERJEE,Male,General,AITC,473.0
2,SANTIMOY BAURI,KRISHNAPADA BAURI,Male,General,IND,283.0
3,SOMNATH ROY,KRISHNAPADA ROY,Male,General,BJP,161.0
4,SISIR GOSWAMI,KARALI GOSWAMI,Male,General,IND,28.0
ANDARTHOLE/VII-07,,,,,,
1,DINABANDHU BAGDI,TARANI BAGDI,Male,SC,AITC,483.0
2,DIPANKAR LOHAR,JITENDRANATH LOHAR,Male,SC,IND,282.0
ANDARTHOLE/VIII-08,,,,,,
1,RUPA LOHAR,SHIBU LOHAR,Female,General,BJP,241.0
2,URMILA BAURI,BARU BAURI,Female,General,AITC,214.0
3,JAYRUN BIBI,ABDUS SAMAD KHAN,Female,General,IND,6.0
ANDARTHOLE/IX-09,,,,,,
1,PRADIP ROY,SANTOSH ROY,Male,General,BJP,467.0
2,SHIBDAS CHOTTOPADHYAY,SUSHIL CHOTTOPADHYAY,Male,General,AITC,352.0
ANDARTHOLE/X-10,,,,,,
1,TAIBUL HAQUE,AJIJUL HAQUE,Male,General,AITC,718.0
2,MD. NASIRUDDIN KHAN,AMIN KHAN,Male,General,IND,417.0
3,MD. KABIL KHAN,MARSALIM KHAN,Male,General,IND,14.0
ANDARTHOLE/XI-11,,,,,,
1,ARESABIBI SEKH,NASIR SEKH,Female,General,AITC,550.0
2,MAHINURA BIBI,MD. AMITULLA KHAN,Female,General,IND,268.0
3,ANJU MANWARA BEGAM,MAZIBUR RAHAMAN KHAN,Female,General,IND,58.0
ANDARTHOLE/XII-12,,,,,,
1,ZAYEDTULLA KHAN,MD. NASIR KHAN,Male,General,AITC,743.0
2,SANATAN ROY,KULADA PRASAD ROY,Male,General,BJP,113.0
ANDARTHOLE/XIII-13,,,,,,
1,SUDHA MANDAL,PRADIP KUMAR MANDAL,Female,General,AITC,465.0
2,KANCHAN SHARMA,PRABIR SHARMA,Female,General,BJP,111.0
ANDARTHOLE/XIV-14,,,,,,
1,CHHAYA MONDAL,SUJIT MONDAL,Female,SC,AITC,384.0
2,SADHANA MANDAL (BAG),ALOK MANDAL,Female,SC,IND,168.0
3,TARULATA MAI,KAMALAKANTA MOI,Female,SC,BJP,49.0
ANDARTHOLE/XV-15,,,,,,
1,PRASANTA MOI,NARAYAN CH. MOI,Male,SC,AITC,236.0
2,BIKASH PARAMANIK,SIBDAS PARAMANIK,Male,SC,BJP,146.0
3,DULAL PARAMANIK,RAGHUNATH PARAMANIK,Male,SC,IND,34.0
ANDARTHOLE/XVI-16,,,,,,
1,RIMPA SAHANA,GOBINDA SAHANA,Female,SC,BJP,507.0
2,MANISHA BAG,UTTAM BAG,Female,SC,AITC,431.0
3,ANIMA MAL,DILIP MAL,Female,SC,IND,213.0
